@SampleID:
@Version:0.10.0
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID:
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
100.00	10139354	0	R	1	root
100.00	10139059	0	R1	131567	  cellular organisms
99.93	10132574	0	D	2	    Bacteria
74.04	7507002	0	P	1224	      Pseudomonadota
41.06	4163178	0	C	1236	        Gammaproteobacteria
39.28	3982860	0	O	72274	          Pseudomonadales
39.28	3982275	0	F	135621	            Pseudomonadaceae
39.24	3978789	0	G	286	              Pseudomonas
38.51	3904598	0	G1	136841	                Pseudomonas aeruginosa group
38.43	3896860	3896860	S	287	                  Pseudomonas aeruginosa
0.03	3174	3174	S	2994495	                  Pseudomonas paraeruginosa
0.35	35910	0	G1	196821	                unclassified Pseudomonas
0.03	2675	2675	S	2545800	                  Pseudomonas sp. FDAARGOS_761
0.06	5693	0	G1	136845	                Pseudomonas putida group
0.04	3766	3766	S	303	                  Pseudomonas putida
0.05	5252	0	G1	136843	                Pseudomonas fluorescens group
0.03	3481	0	G1	136842	                Pseudomonas chlororaphis group
0.03	2942	0	G1	136849	                Pseudomonas syringae group
1.40	141836	0	O	135614	          Xanthomonadales
1.32	133600	0	F	32033	            Xanthomonadaceae
0.98	99323	0	G	2370	              Xylella
0.98	99294	99294	S	2371	                Xylella fastidiosa
0.17	17323	0	G	68	              Lysobacter
0.06	6295	6295	S	2865112	                Lysobacter terrestris
0.06	5923	0	G	40323	              Stenotrophomonas
0.03	2712	0	G1	196198	                unclassified Stenotrophomonas
0.05	5366	0	G	338	              Xanthomonas
0.03	2619	0	G	83618	              Pseudoxanthomonas
0.08	8235	0	F	1775411	            Rhodanobacteraceae
0.05	5512	0	G	75309	              Rhodanobacter
0.18	18460	0	O	91347	          Enterobacterales
0.14	13837	0	F	543	            Enterobacteriaceae
0.06	5965	0	G	547	              Enterobacter
0.05	5252	0	G1	354276	                Enterobacter cloacae complex
0.04	3625	3625	S	158836	                  Enterobacter hormaechei
0.04	4342	0	F1	2890311	              Klebsiella/Raoultella group
0.04	4296	0	G	570	                Klebsiella
0.03	3498	3498	S	573	                  Klebsiella pneumoniae
0.03	3535	0	O	135619	          Oceanospirillales
0.03	2846	0	O	135613	          Chromatiales
19.87	2014853	0	C	28211	        Alphaproteobacteria
19.15	1942069	0	O	204455	          Rhodobacterales
18.74	1899989	0	F	31989	            Paracoccaceae
18.29	1854124	0	G	265	              Paracoccus
17.69	1793210	1793210	S	266	                Paracoccus denitrificans
0.14	13920	0	G1	2688777	                unclassified Paracoccus (in: a-proteobacteria)
0.05	4995	4995	S	2895796	                  Paracoccus sp. MA
0.03	3237	3237	S	1263728	                  Paracoccus sp. TOH
0.10	10146	10146	S	34007	                Paracoccus versutus
0.10	10638	10638	S	82367	                Paracoccus pantotrophus
0.03	3257	3257	S	135740	                Paracoccus kondratievae
0.07	6650	0	G	2946607	              Neotabrizicola
0.07	6650	6650	S	2807096	                Neotabrizicola shimadae
0.05	4961	0	G	1060	              Rhodobacter
0.03	2869	0	G1	196779	                unclassified Rhodobacter
0.03	3483	0	G	2818469	              Fuscovulum
0.03	3058	0	G	34008	              Rhodovulum
0.03	2981	0	G	1653176	              Cereibacter
0.42	42079	0	F	2854170	            Roseobacteraceae
0.07	6591	0	G	60136	              Sulfitobacter
0.03	3541	0	G1	196795	                unclassified Sulfitobacter
0.06	5840	0	G	74030	              Roseovarius
